id,month,week,storage_id,product_id,base_price,checkout_price,social_media_promotion,homepage_featured,num_orders
0023854,1,1,103,21093674,166.26,177.67,0,0,2
0023855,1,1,102,21132395,2256.24,2388.96,0,0,1
0023856,1,1,102,21044341,103,108,0,0,1
0023857,1,1,102,21072631,1657.5,1787.5,0,0,1
0023858,1,1,103,21101852,749.84,815.36,0,0,2
0023859,1,1,103,21031722,1670.66,1784.2,0,0,6
0023860,1,1,101,21072631,1657.5,1803.75,0,0,4
0023861,1,1,103,21093722,576.3,615.85,1,0,3
0023862,1,1,103,21101900,1775.82,1949.92,0,0,3
0023863,1,1,103,21113949,420.24,452.88,1,0,11
0023864,1,1,102,21114101,760.14,841.32,0,0,11
0023865,1,1,103,21101828,1673.57,1822.7,0,0,6
0023866,1,1,102,21021595,726.15,796.65,0,0,6
0023867,1,1,102,21010989,1702.38,1835.9,0,0,3
0023868,1,1,101,21114062,2982.53,3277.83,0,0,1
0023869,1,1,101,21072627,1311.19,1425.76,0,0,3
0023870,1,1,103,21031668,1356.6,1502.9,0,0,2
0023871,1,1,101,21061617,1164.93,1255.41,1,0,3
0023872,1,1,103,21061618,729.3,807.95,0,0,8
0023873,1,1,103,21101824,1370.93,1450.79,0,0,3
0023874,1,1,103,21010935,362.59,387.72,0,0,5
0023875,1,1,102,21072633,1265.87,1401.06,0,0,4
0023876,1,1,103,21051970,871.63,949.3,0,0,1
0023877,1,1,103,21122141,7135.92,7905.48,1,0,2
0023878,1,1,103,21101861,648.72,705.96,0,0,12
0023879,1,1,101,21132547,2089.69,2358.66,0,0,5
0023880,1,1,101,21011164,1271.02,1394.42,0,0,1
0023881,1,1,103,21122142,7134.9,7554.6,0,0,1
0023882,1,1,103,21031682,1012.02,1092.18,0,0,5
0023883,1,1,101,21122139,4447.2,4796,0,0,3
0023884,1,1,101,21114085,337.34,364.06,0,0,15
0023885,1,1,102,21021680,993.84,1082.4,0,0,1
0023886,1,1,103,21101886,1113.02,1201.18,0,0,2
0023887,1,1,103,21010938,1724.22,1908.36,1,0,4
0023888,1,1,103,21011148,305.02,335.22,0,0,10
0023889,1,1,101,21132262,3552.17,3868.7,0,0,4
0023890,1,1,103,21122130,7747.66,8123.76,0,0,1
0023891,1,1,101,21093708,566.61,617.1,0,0,7
